modul,price,score
  15.6    V15 G3 IAP i3 12GB 1HDD 256SSD -  ,18360000,
  15.6    Thinkbook 15 G2 ITL-i3 12GB 1SSD -  ,18300000,
  15.6    ThinkBook 15 G2ITL-i3 12GB 512GB -  ,18190000,
  15.6    IdeaPad 3 15ITL6-i3 20GB 1HDD 1SSD -  ,18100000,2
  15.6    Ideapad 1 15AMN7-R3 4GB 1SSD Radeon -  ,18100000,
  15.6    V15-i3 8GB 512SSD MX350,18090000,4
  15.6    ThinkBook 15 G2ITL-i3 12GB 256GB -  ,17990000,
  15.6    ThinkBook 15 G2ITL-i3 8GB 512GB -  ,17899000,
  15.6    IdeaPad 3 15ITL6-i3 20GB 1HDD 512SSD -  ,17880000,5
  15.6    IdeaPad 3 15IAU7-i3 16GB 1SSD -  ,17800000,
  15.6    V15 G2 ITL-i3 8GB 256GB 2GB -  ,17800000,4
  15.6    Ideapad 1 15AMN7-R3 4GB 512SSD Radeon -  ,17800000,
